country_code,NUTS3_2006,NUTS3_2010,NUTS3_2013,NUTS3_2016,Source,id,Comment
DE,DE94D,DE94D,DE94D,DE94D,NUTS3,DEU_1,
DE,DE94C,DE94C,DE94C,DE94C,NUTS3,DEU_1,
DE,DEA16,DEA16,DEA16,DEA16,NUTS3,DEU_3,
DE,DEB37,DEB37,DEB37,DEB37,NUTS3,DEU_5,
DE,DEE08,DEE08,DEE08,DEE08,NUTS3,DEU_4,
DE,DEB39,DEB39,DEB39,DEB39,NUTS3,DEU_5,
DE,DEG0N,DEG0N,DEG0N,DEG0N,NUTS3,DEU_4,
DE,DEG0M,DEG0M,DEG0M,DEG0M,NUTS3,DEU_4,
DE,DEG0L,DEG0L,DEG0L,DEG0L,NUTS3,DEU_4,
DE,DEG0K,DEG0K,DEG0K,DEG0K,NUTS3,DEU_4,
DE,DEG0J,DEG0J,DEG0J,DEG0J,NUTS3,DEU_4,
DE,DEG0I,DEG0I,DEG0I,DEG0I,NUTS3,DEU_4,
DE,DEG0H,DEG0H,DEG0H,DEG0H,NUTS3,DEU_4,
DE,DEG0G,DEG0G,DEG0G,DEG0G,NUTS3,DEU_4,
DE,DEG0F,DEG0F,DEG0F,DEG0F,NUTS3,DEU_4,
DE,DEG0E,DEG0E,DEG0E,DEG0E,NUTS3,DEU_4,
DE,DEG0D,DEG0D,DEG0D,DEG0D,NUTS3,DEU_4,
DE,DEG0P,DEG0P,DEG0P,DEG0P,NUTS3,DEU_4,
DE,DEG0C,DEG0C,DEG0C,DEG0C,NUTS3,DEU_4,
DE,DEG0A,DEG0A,DEG0A,DEG0A,NUTS3,DEU_4,
DE,DEG09,DEG09,DEG09,DEG09,NUTS3,DEU_4,
DE,DEG07,DEG07,DEG07,DEG07,NUTS3,DEU_4,
DE,DEG06,DEG06,DEG06,DEG06,NUTS3,DEU_4,
DE,DEG05,DEG05,DEG05,DEG05,NUTS3,DEU_4,
DE,DEG04,DEG04,DEG04,DEG04,NUTS3,DEU_4,
DE,DEG03,DEG03,DEG03,DEG03,NUTS3,DEU_4,
DE,DEG02,DEG02,DEG02,DEG02,NUTS3,DEU_4,
DE,DEG01,DEG01,DEG01,DEG01,NUTS3,DEU_4,
DE,DEF0F,DEF0F,DEF0F,DEF0F,NUTS3,DEU_1,
DE,DEF0E,DEF0E,DEF0E,DEF0E,NUTS3,DEU_1,
DE,DEG0B,DEG0B,DEG0B,DEG0B,NUTS3,DEU_4,
DE,,,,DE91C,NUTS3,DEU_1,
DE,DED1A,,,,NUTS3,DEU_4,
DE,DED19,,,,NUTS3,DEU_4,
DE,DE801,DE801,,,NUTS3,DEU_2,
DE,DE802,DE802,,,NUTS3,DEU_2,
DE,DE805,DE805,,,NUTS3,DEU_2,
DE,DE806,DE806,,,NUTS3,DEU_2,
DE,DE807,DE807,,,NUTS3,DEU_2,
